ORD,PERSIAN,SYNONYM,ENGEX,PEREX,TYP,BILD
att skratta – skrattar,خندیدن,"le, fnissa","1. Jag skrattar åt skämtet.
2. Hon skrattar högt.
3. Vi skrattar tillsammans.","1. من به شوخی می‌خندم.
2. او بلند می‌خندد.
3. ما با هم می‌خندیم.",skratta – skratta – skrattar – skrattade – skrattat – ska skratta,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att le – ler,لبخند زدن,"småle, flina","1. Jag ler mot dig.
2. Hon ler alltid.
3. Vi ler tillsammans.","1. من به تو لبخند می‌زنم.
2. او همیشه لبخند می‌زند.
3. ما با هم لبخند می‌زنیم.",le – le – ler – log – lett – ska le,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att hjälpa – hjälper,کمک کردن,"bistå, assistera","1. Jag hjälper dig.
2. Hon hjälper sin vän.
3. Vi hjälper varandra.","1. من به تو کمک می‌کنم.
2. او به دوستش کمک می‌کند.
3. ما به هم کمک می‌کنیم.",hjälpa – hjälp – hjälper – hjälpte – hjälpt – ska hjälpa,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att rädda – räddar,نجات دادن,"befria, skydda","1. Jag räddar katten.
2. Hon räddar människan.
3. Vi räddar världen.","1. من گربه را نجات می‌دهم.
2. او انسان را نجات می‌دهد.
3. ما جهان را نجات می‌دهیم.",rädda – rädda – räddar – räddade – räddat – ska rädda,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att städa – städar,تمیز کردن,"rengöra, plocka","1. Jag städar rummet.
2. Hon städar köket.
3. Vi städar huset.","1. من اتاق را تمیز می‌کنم.
2. او آشپزخانه را تمیز می‌کند.
3. ما خانه را تمیز می‌کنیم.",städa – städa – städar – städade – städat – ska städa,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att sopa – sopar,جارو کردن,"rengöra, borsta","1. Jag sopar golvet.
2. Hon sopar verandan.
3. Vi sopar trappan.","1. من زمین را جارو می‌کنم.
2. او ایوان را جارو می‌کند.
3. ما پله‌ها را جارو می‌کنیم.",sopa – sopa – sopar – sopade – sopat – ska sopa,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att tvätta – tvättar,شستن,"rengöra, skölja","1. Jag tvättar kläder.
2. Hon tvättar bilen.
3. Vi tvättar fönstren.","1. من لباس‌ها را می‌شویم.
2. او ماشین را می‌شوید.
3. ما پنجره‌ها را می‌شوییم.",tvätta – tvätta – tvättar – tvättade – tvättat – ska tvätta,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att laga – lagar,پختن / تعمیر کردن,"fixa, tillaga","1. Jag lagar mat.
2. Hon lagar bilen.
3. Vi lagar huset.","1. من غذا می‌پزم.
2. او ماشین را تعمیر می‌کند.
3. ما خانه را تعمیر می‌کنیم.",laga – laga – lagar – lagade – lagat – ska laga,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att öppna – öppnar,باز کردن,"slå upp, börja","1. Jag öppnar dörren.
2. Hon öppnar fönstret.
3. Vi öppnar butiken.","1. من در را باز می‌کنم.
2. او پنجره را باز می‌کند.
3. ما فروشگاه را باز می‌کنیم.",öppna – öppna – öppnar – öppnade – öppnat – ska öppna,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att stänga – stänger,بستن,"slå igen, avsluta","1. Jag stänger dörren.
2. Hon stänger fönstret.
3. Vi stänger butiken.","1. من در را می‌بندم.
2. او پنجره را می‌بندد.
3. ما فروشگاه را می‌بندیم.",stänga – stäng – stänger – stängde – stängt – ska stänga,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att låsa – låser,قفل کردن,"spärr, stänga","1. Jag låser dörren.
2. Hon låser skåpet.
3. Vi låser bilen.","1. من در را قفل می‌کنم.
2. او کمد را قفل می‌کند.
3. ما ماشین را قفل می‌کنیم.",låsa – lås – låser – låste – låst – ska låsa,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att ringa – ringer,زنگ زدن,"telefonera, kontakta","1. Jag ringer dig.
2. Hon ringer sin vän.
3. Vi ringer tillsammans.","1. من به تو زنگ می‌زنم.
2. او به دوستش زنگ می‌زند.
3. ما با هم زنگ می‌زنیم.",ringa – ring – ringer – ringde – ringt – ska ringa,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att skicka – skickar,فرستادن,"posta, överföra","1. Jag skickar ett brev.
2. Hon skickar mejl.
3. Vi skickar paket.","1. من نامه‌ای می‌فرستم.
2. او ایمیل می‌فرستد.
3. ما بسته‌ای می‌فرستیم.",skicka – skicka – skickar – skickade – skickat – ska skicka,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att ta emot – tar emot,دریافت کردن,"få, mottaga","1. Jag tar emot paketet.
2. Hon tar emot gäster.
3. Vi tar emot brev.","1. من بسته را دریافت می‌کنم.
2. او مهمانان را می‌پذیرد.
3. ما نامه‌ها را دریافت می‌کنیم.",ta emot – ta – tar emot – tog emot – tagit emot – ska ta emot,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att vänta – väntar,صبر کردن,"avvakta, hålla ut","1. Jag väntar på bussen.
2. Hon väntar på vännen.
3. Vi väntar tillsammans.","1. من منتظر اتوبوس می‌مانم.
2. او منتظر دوستش می‌ماند.
3. ما با هم منتظر می‌مانیم.",vänta – vänta – väntar – väntade – väntat – ska vänta,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att leka – leker,بازی کردن,"spela, roa sig","1. Jag leker med barnen.
2. Hon leker med hunden.
3. Vi leker tillsammans.","1. من با بچه‌ها بازی می‌کنم.
2. او با سگ بازی می‌کند.
3. ما با هم بازی می‌کنیم.",leka – lek – leker – lekte – lekt – ska leka,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
att studera – studerar,مطالعه کردن,"läsa, plugga","1. Jag studerar svenska.
2. Hon studerar historia.
3. Vi studerar tillsammans.","1. من سوئدی مطالعه می‌کنم.
2. او تاریخ مطالعه می‌کند.
3. ما با هم مطالعه می‌کنیم.",studera – studera – studerar – studerade – studerat – ska studera,https://images.unsplash.com/photo-1522202176988-66273c2fd55f
